appid,best_community_idx,best_community_id,similarity
1013540,2,2,0.550708532333374
1118840,2,2,0.5505020022392273
1608640,2,2,0.5500794649124146
365770,2,2,0.5498493909835815
946790,21,21,0.5494356155395508
1328920,36,36,0.5493108630180359
836770,2,2,0.5492826104164124
1601970,2,2,0.5490530133247375
1271090,2,2,0.5490154027938843
1684670,2,2,0.5489474534988403
1144020,21,21,0.5487135648727417
3219650,2,2,0.5485826134681702
397420,2,2,0.5485457181930542
1588340,7,7,0.5485209822654724
2337460,2,2,0.5482483506202698
1271750,36,36,0.5481462478637695
563200,21,21,0.5480973720550537
1226310,2,2,0.5480450391769409
3596390,27,27,0.5477472543716431
505070,23,23,0.5477191209793091
1490410,36,36,0.5476764440536499
1461800,2,2,0.5475433468818665
251850,23,23,0.5472301244735718
730830,1,1,0.5471982955932617
2324110,2,2,0.5469738841056824
1377150,2,2,0.5466150641441345
1844130,11,11,0.5465984344482422
754520,2,2,0.5458155274391174
1739300,2,2,0.5458123087882996
1613770,36,36,0.5457556247711182
864700,2,2,0.5454177260398865
891200,2,2,0.5453922152519226
1186740,2,2,0.5452799201011658
265210,2,2,0.5452759861946106
3494930,21,21,0.5446427464485168
1422420,2,2,0.5445314645767212
372480,36,36,0.5441537499427795
3391050,36,36,0.5438612699508667
2532430,2,2,0.5438427329063416
1148560,2,2,0.5436400175094604
717640,2,2,0.543249785900116
568580,2,2,0.5431068539619446
1470110,2,2,0.543083131313324
3572870,23,23,0.543053925037384
57600,21,21,0.542770504951477
1762270,7,7,0.5427684187889099
97120,21,21,0.5427308082580566
422910,21,21,0.5426821112632751
3034720,2,2,0.5425875782966614
448530,2,2,0.5418110489845276
598990,23,23,0.5418077707290649
673900,2,2,0.5417768359184265
952150,36,36,0.5416833162307739
510680,2,2,0.5415242314338684
2650630,2,2,0.5411806702613831
1161900,2,2,0.5410735011100769
1236240,2,2,0.5408807396888733
2626620,36,36,0.5407790541648865
801480,2,2,0.5404057502746582
2111020,21,21,0.5402711033821106
1040460,2,2,0.5402345061302185
792000,7,7,0.5402235984802246
